ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:12:10,0.1458101441701612,-92.74760328307177,87.55823335355599,0.1458101441701612,0.1458101441701612,0.0,0.0,0.0,0.0,0.0,0.0,0.1458101441701612
2025-01-01 00:12:15,0.10552994656696027,-81.98833134568814,89.26950492264812,0.10552994656696027,0.10552994656696027,0.0,0.0,0.0,0.0,0.0,0.0,0.10552994656696027
2025-01-01 00:12:20,0.06524974896375837,-91.92670339480809,87.77910682071568,0.06524974896375837,0.06524974896375837,0.0,0.0,0.0,0.0,0.0,0.0,0.06524974896375837
2025-01-01 00:12:25,0.024969551360556473,-92.4047297616482,89.41819051198037,0.024969551360556473,0.024969551360556473,0.0,0.0,0.0,0.0,0.0,0.0,0.024969551360556473
2025-01-01 00:12:30,-0.01531064624264543,-97.55468625423276,87.57679935122268,-0.01531064624264543,-0.01531064624264543,0.0,0.0,0.0,0.0,0.0,0.0,-0.01531064624264543
2025-01-01 00:12:35,-0.05559084384584733,-86.85911263266104,87.51979394789976,-0.05559084384584733,-0.05559084384584733,0.0,0.0,0.0,0.0,0.0,0.0,-0.05559084384584733
2025-01-01 00:12:40,-0.09587104144905707,-83.30119364668796,91.32604198825021,-0.09587104144905707,-0.09587104144905707,0.0,0.0,0.0,0.0,0.0,0.0,-0.09587104144905707
2025-01-01 00:12:45,-0.1361511829589436,-90.91627157655672,88.84458558563273,-0.1361511829589436,-0.1361511829589436,0.0,0.0,0.0,0.0,0.0,0.0,-0.1361511829589436
2025-01-01 00:12:50,-0.17643132446882817,-92.44865481578576,89.45343585237892,-0.17643132446882817,-0.17643132446882817,0.0,0.0,0.0,0.0,0.0,0.0,-0.17643132446882817
2025-01-01 00:12:55,-0.2167114659787137,-95.69008997427296,85.68518859206841,-0.2167114659787137,-0.2167114659787137,0.0,0.0,0.0,0.0,0.0,0.0,-0.2167114659787137
2025-01-01 00:13:00,-0.2569916074885983,-85.69203965956609,89.91491767701058,-0.2569916074885983,-0.2569916074885983,0.0,0.0,0.0,0.0,0.0,0.0,-0.2569916074885983
2025-01-01 00:13:05,-0.29727174899848385,-88.51329619428871,93.08286107240215,-0.29727174899848385,-0.29727174899848385,0.0,0.0,0.0,0.0,0.0,0.0,-0.29727174899848385
2025-01-01 00:13:10,-0.3375518905083684,-92.62834407667093,89.26298635697444,-0.3375518905083684,-0.3375518905083684,0.0,0.0,0.0,0.0,0.0,0.0,-0.3375518905083684
2025-01-01 00:13:15,-0.377832032018253,-87.69814547162744,93.75017477321819,-0.377832032018253,-0.377832032018253,0.0,0.0,0.0,0.0,0.0,0.0,-0.377832032018253
2025-01-01 00:13:20,-0.4181121735281131,-88.12343635154625,88.27609734004743,-0.4181121735281131,-0.4181121735281131,0.0,0.0,0.0,0.0,0.0,0.0,-0.4181121735281131
2025-01-01 00:13:25,-0.45839231917503775,-94.790692104571,87.65201685415006,-0.45839231917503775,-0.45839231917503775,0.0,0.0,0.0,0.0,0.0,0.0,-0.45839231917503775
2025-01-01 00:13:30,-0.49867246482196154,-83.47120513510346,91.7457545968074,-0.49867246482196154,-0.49867246482196154,0.0,0.0,0.0,0.0,0.0,0.0,-0.49867246482196154
2025-01-01 00:13:35,-0.5389526104688862,-86.93450030825555,92.78528886325132,-0.5389526104688862,-0.5389526104688862,0.0,0.0,0.0,0.0,0.0,0.0,-0.5389526104688862
2025-01-01 00:13:40,-0.5792327561158109,-91.03275835289143,90.76185382733063,-0.5792327561158109,-0.5792327561158109,0.0,0.0,0.0,0.0,0.0,0.0,-0.5792327561158109
2025-01-01 00:13:45,-0.6195129017627357,-90.07886921632443,95.54116162273624,-0.6195129017627357,-0.6195129017627357,0.0,0.0,0.0,0.0,0.0,0.0,-0.6195129017627357
2025-01-01 00:13:50,-0.6597930474096604,-89.1520170990044,90.72434254972622,-0.6597930474096604,-0.6597930474096604,0.0,0.0,0.0,0.0,0.0,0.0,-0.6597930474096604
2025-01-01 00:13:55,-0.7000731930565998,-92.29576874497921,90.44858838483657,-0.7000731930565998,-0.7000731930565998,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000731930565998
2025-01-01 00:14:00,-0.7403533488721168,-95.74254288334089,85.18536780732016,-0.7403533488721168,-0.7403533488721168,0.0,0.0,0.0,0.0,0.0,0.0,-0.7403533488721168
2025-01-01 00:14:05,-0.7806335046876327,-94.85317680333966,87.2435341113165,-0.7806335046876327,-0.7806335046876327,0.0,0.0,0.0,0.0,0.0,0.0,-0.7806335046876327
2025-01-01 00:14:10,-0.8209136605031487,-85.22279506409737,85.7529627270707,-0.8209136605031487,-0.8209136605031487,0.0,0.0,0.0,0.0,0.0,0.0,-0.8209136605031487
2025-01-01 00:14:15,-0.8611938163186648,-97.43072862037133,85.45048384172617,-0.8611938163186648,-0.8611938163186648,0.0,0.0,0.0,0.0,0.0,0.0,-0.8611938163186648
2025-01-01 00:14:20,-0.9014739721341808,-94.59007795548193,84.0258181129197,-0.9014739721341808,-0.9014739721341808,0.0,0.0,0.0,0.0,0.0,0.0,-0.9014739721341808
2025-01-01 00:14:25,-0.9417541279496967,-97.91737829311101,80.69990518469834,-0.9417541279496967,-0.9417541279496967,0.0,0.0,0.0,0.0,0.0,0.0,-0.9417541279496967
2025-01-01 00:14:30,-0.9820342837652117,-92.61529919285334,82.8403441287885,-0.9820342837652117,-0.9820342837652117,0.0,0.0,0.0,0.0,0.0,0.0,-0.9820342837652117
